feature,formula,signo_esperado,auc_dev,p_dev,auc_dev_2021_2022,auc_dev_2023,p_aporte_sobre_componentes,p_necesidad_sensible,R1,R2,R3,R4,R5,redundante_con,decision,motivo,auc_val_info,psi_oot,pct_na
dti_post,(monthly_debt_payment + cuota_estimada) / monthly_income,+,0.5702323266616256,1.916918183337015e-05,0.5797519577353967,0.5569183448613577,0.08687456879592007,,True,True,True,True,True,,Conservada,Pasa R1-R5,0.5380389089842604,0.006713602279945408,0.025073491267508213
ahorro_sobre_monto,savings_balance / requested_amount,-,0.45968147705952583,0.016601211030955156,0.48642239829001865,0.41771283528846814,0.08507578849520227,,True,True,True,True,True,,Conservada,Pasa R1-R5,0.4521370540445072,0.00911578846754428,0.07712260072626664
colchon_ahorro_meses,savings_balance / cuota_estimada,-,0.4630649837966911,0.02820683510527495,0.48530227826247807,0.4291949646703711,0.09120904268611081,,True,True,True,True,False,ahorro_sobre_monto,Descartada,R5: redundante con otra derivada conservada (ahorro_sobre_monto),0.4571338160838338,0.011891499357940882,0.07712260072626664
deuda_por_obligacion,monthly_debt_payment / (1 + active_loans),+,0.5443475120059855,0.00638984903065085,0.5670801853060972,0.5091617023798939,0.5189896264921539,,True,True,False,True,True,,Descartada,R3: no agrega información sobre sus propios componentes,0.5546050567789698,0.0018284111525537698,0.0
dti_post_verificable,"(monthly_debt_payment + cuota_estimada) / (monthly_income * (1 - cash_income_share)), tope 10",+,0.5478522707982902,0.0035878760251386683,0.5500978867698302,0.5453074309848809,0.2548412837154433,0.22891263805097012,True,True,False,False,True,,Descartada,R3: no agrega información sobre sus propios componentes; R4: el componente sensible no pasa la prueba de necesidad de negocio,0.5267181542672794,0.005055202173351876,0.025073491267508213
excedente_per_capita,(monthly_income - monthly_debt_payment - cuota_estimada) / (1 + household_dependents),-,0.46339659110198916,0.02590204231597677,0.446546329948668,0.4866331027728469,0.9424775788098781,0.9720131614704968,True,True,False,False,True,,Descartada,R3: no agrega información sobre sus propios componentes; R4: el componente sensible no pasa la prueba de necesidad de negocio,0.522090787629941,0.0037324733125379886,0.025073491267508213
antiguedad_relativa,"employment_tenure_months / ((age - 14) * 12), tope 1",-,0.48516620411833866,0.3616805237089623,0.5008372530991689,0.4597225926913843,0.7254822014799325,0.25105145031836607,False,False,False,False,True,,Descartada,R1: sin señal en DEV o con signo contrario al esperado; R2: no mantiene el signo esperado en 2021-2022 y en 2023; R3: no agrega información sobre sus propios componentes; R4: el componente sensible no pasa la prueba de necesidad de negocio,0.5236432649476128,0.019635676255258413,0.0
intensidad_busqueda,bureau_inquiries_6m / (1 + active_loans),+,0.5140487536994651,0.3844682797184621,0.5364949076356594,0.4793352301354435,0.2488161604370896,,False,False,False,True,True,,Descartada,R1: sin señal en DEV o con signo contrario al esperado; R2: no mantiene el signo esperado en 2021-2022 y en 2023; R3: no agrega información sobre sus propios componentes,0.5197063805759459,0.003817350546887348,0.0
campana_siembra,1 si el mes de observation_date está entre setiembre y diciembre,+,0.48867355513539207,0.3884746013010274,0.4854169165100981,0.49322041433271097,0.2858378338358324,,False,False,False,True,True,,Descartada,R1: sin señal en DEV o con signo contrario al esperado; R2: no mantiene el signo esperado en 2021-2022 y en 2023; R3: no agrega información sobre sus propios componentes,0.5269653052261748,0.0,0.0
loan_to_income,requested_amount / monthly_income,+,0.5013348559435811,0.9352742883342845,0.48656281614148145,0.5214237620126095,0.1618057712539998,,False,False,False,True,True,,Descartada,R1: sin señal en DEV o con signo contrario al esperado; R2: no mantiene el signo esperado en 2021-2022 y en 2023; R3: no agrega información sobre sus propios componentes,0.5275784534167562,0.007687156185478471,0.025073491267508213
