id,severidad,hallazgo,evidencia,impacto,recomendacion,responsable,plazo
V-01,Alta,La exposición al default no es coherente con el calendario de amortización,"El 49.3% de los defaults implica más de 12 cuotas pagadas, imposible con la ventana de 12 meses (6.10 §3)","El factor de exposición de 0.415 puede estar sesgado; afecta pérdida esperada, pricing y provisiones",Elevar al dueño del dato antes de usar el modelo para provisiones; reestimar EAD con datos corregidos,Dueño del dato + Analytics,Antes del despliegue
V-02,Alta,La calibración envejece rápido y el modelo subestima el riesgo sin corrección,Observado/predicho de 1.41 en VAL y 1.31 en OOT antes de recalibrar (6.7 §4),"Sin recalibración vigente, la PD subestima ~30% y la pérdida esperada de la cartera queda subestimada igual",Fijar la recalibración como control obligatorio con disparador automático y dueño asignado; bloquear el uso si vence,Analytics,"Trimestral, permanente"
V-03,Media,Los parámetros de EAD y LGD son constantes sobre 351 defaults de desarrollo,Ningún modelo supera al baseline global fuera de muestra y no hay muestra para segmentar (6.10 y 6.11),Riesgo de sesgo por segmento no detectado en pérdida esperada y capital,Revisión anual con la nueva cosecha; segmentar en cuanto haya casos suficientes por banda de riesgo,Analytics,Revisión anual
V-04,Media,Impacto adverso en el segmento de mayor ingreso en efectivo,"AIR de 0.74 en aprobación automática en 2024 y 0.74 en 2025, por debajo de la regla de los 4/5 (6.8 §5)",Riesgo de fair lending y de contradecir el objetivo de inclusión del caso,Medir mensualmente el AIR y evidenciar que la verificación de ingreso convierte revisiones en aprobaciones; reportar al Comité,Riesgos,Mensual
V-05,Media,La cola de revisión manual excede la capacidad declarada,La política genera 23.2% de revisiones contra una capacidad de 20% (6.9 §7),"Riesgo operativo: decisiones tomadas sin la verificación que la política supone, o demoras en la respuesta","Priorizar por valor esperado, medir el cumplimiento del SLA de revisión y evaluar ampliar capacidad",Operaciones + Riesgos,Antes del despliegue
V-06,Media,El supuesto de que el analista aprueba el 60% de las revisiones no está validado,La aprobación final esperada (67.2%) depende de ese supuesto; con 40% baja a 62.6% (6.9 §10),La proyección de volumen y de ingresos puede desviarse de forma material,Medir la tasa real de aprobación en revisión durante los primeros tres meses y recalcular la proyección,Operaciones,Primer trimestre de uso
V-07,Media,Concentración en un único proveedor de información externa,El score de buró explica el 64% del rango de puntos del scorecard (6.8 §2),Una caída o cambio de escala del buró degrada la decisión de toda la cartera,Documentar plan de contingencia: regla de negocio temporal si el buró no responde y prueba de estrés del proveedor,TI + Riesgos,Antes del despliegue
V-08,Baja,El challenger superó al champion en la cosecha OOT sin significancia estadística,"Gini 0.469 contra 0.424, con intervalo de −0.002 a +0.044 que incluye el cero (6.7 §7)",Posible pérdida de poder predictivo frente a una alternativa disponible,Mantener el challenger en seguimiento y promover solo si la ventaja se sostiene dos cosechas con intervalo que excluya el cero,Analytics,Revisión semestral
V-09,Baja,No se aplicó reject inference al modelo campeón,El scorecard se ajusta solo con aprobados; la sensibilidad muestra ranking estable (Spearman 0.9996) (6.5 §8),"Riesgo bajo dado el filtro histórico débil, pero la nueva política aprobará perfiles antes rechazados",Monitorear el default de los aprobados en bandas bajas y reevaluar con la primera cosecha de la nueva política,Analytics,A los 12 meses de uso
V-10,Informativo,Los datos son sintéticos y la severidad no se comporta como una cartera real,"LGD unimodal sin masa en 0 ni en 1, y ninguna variable de T0 explica EAD ni LGD (6.11 §2)",Los parámetros no son trasladables a la cartera real sin revalidar,Revalidar todo el marco con datos reales antes de cualquier uso productivo,Analytics + Validación,Antes de producción real
