n,hallazgo,evidencia,interpretacion,impacto_politica_modelo
1,Señal concentrada,"5 de 22 candidatas con q < 0.05 en DEV: bureau_score, dti, dti_post, prior_delinquencies_24m, monthly_debt_payment",La mayoría de variables son ruido en esta cartera,Scorecard parsimonioso; no agregar variables sin señal
2,Buró eje del riesgo y estable,Default 26.6% (D1) a 2.4% (D10) en DEV; AUC anual 0.67-0.71; AUC por canal 0.66-0.71,Ordena igual en el tiempo y en todos los canales,Característica principal con tramos monótonos; sin scorecard por canal
3,"Deterioro de nivel, no de orden","+0.42 log-odds en VAL (OR 1.52, p < 0.001); cambio de pendiente p = 0.49",La curva de riesgo se desplazó en paralelo,Recalibrar el intercepto con VAL (6.7); separar score y tabla score → PD
4,Tendencia gradual,Odds x1.20 por año (p < 0.001); escalón 2023 p = 0.38,El nivel de PD envejece rápido,"Calibración con ventana reciente, disparador de recalibración y escenario Adverse con tendencia"
5,Umbral de capacidad en 45%,"DEV: 8.6% / 8.0% hasta 45%, 11.2% en 45-60% y 15.5% en 60-80%; VAL repite el quiebre",Relación no lineal con meseta hasta 45%,Tramo sin penalidad hasta 45%; regla de capacidad 45% / 60%
6,Buró y capacidad aditivos,De 3.1% a 24.3% en la matriz 3x3; interacción p = 0.90,Los efectos se suman en log-odds,Scorecard aditivo adecuado; matriz banda de score x capacidad
7,Mora previa no se sostiene,DEV 8.8% / 11.7% / 12.8%; VAL 14.7% / 11.9% / 17.0%,Señal de DEV que se invierte en VAL,Solo entra al scorecard si no se invierte en VAL (criterio S6 de 6.5)
8,Canal digital sin mayor riesgo en DEV; web se aparta en 2024,Chi² DEV p = 0.46; VAL p = 0.04 (web 17.8%),Crecer fuera de agencias no deterioró DEV; alerta puntual en web,Canal fuera del modelo; KRI de default por canal y revisión del flujo web
9,Brecha creciente de clientes nuevos,"Brecha nuevos − antiguos: 2021 -0.5 pp, 2022 +0.6 pp, 2023 +3.4 pp, 2024 +4.7 pp",Riesgo emergente que DEV no captura,"Monitoreo por cohorte, límite de concentración y monto acotado del primer crédito"
10,Efectivo alto inestable,Quintil superior vs resto: DEV 11.8% vs 9.4%-10.4%; VAL 18.7% vs 10.4%-15.0%,Sin necesidad de negocio; proxy de informalidad,Fuera del modelo; verificación de ingreso y AIR por efectivo
11,"Territorio, distancia, hogar y edad sin señal","Región DEV p = 0.13, VAL p = 0.41; ninguna pasa el tamizaje",No hay justificación para usarlas,Excluidas del scorecard por diseño; se usan en fairness (6.8)
12,Monto y plazo no son PD; ticket grande inestable,"AUC monto 0.50, plazo 0.50; > S/ 20k: default DEV 2.8% vs VAL 26.2% (42 créditos), 14% del monto y 23% de la pérdida de VAL",Sin relación estable con la PD; exposición concentrada,"Monto por capacidad, límite de concentración y revisión obligatoria > S/ 20k; EL y stress en monto"
13,Pérdida por frecuencia,Default 8.6% → 14.0%; LGD 61.5%-62.6% (p = 0.83),La severidad no explica el deterioro,PD como palanca de EL; LGD con baseline segmentado; stress sobre PD
14,Pérdida concentrada en buró bajo,DEV: Q1 20% de créditos y 40% de la pérdida; Q1+Q2 65% (VAL 59%),"Donde se pierde es en los tramos bajos del buró, no en segmentos de negocio",Punto de corte y zona de revisión en los tramos bajos del score (6.9)
