grupo,evidencia,estado,faltante,tipo,item,dónde se resuelve
Target y population filters documentados,reports/02_definicion_modelo_y_poblacion.md|reports/tables/waterfall_poblacion.csv,Cumple,,Checklist de entrega,,
Split temporal Development/Validation/OOT reproducible,reports/tables/split_temporal.csv|src/config.py,Cumple,,Checklist de entrega,,
Lista de variables prohibidas por leakage,src/data.py|reports/02_definicion_modelo_y_poblacion.md,Cumple,,Checklist de entrega,,
Data Quality Report,reports/03_data_strategy_calidad_features.md|reports/tables/calidad_reglas_consistencia.csv,Cumple,,Checklist de entrega,,
10+ insights de EDA,reports/04_eda_orientado_a_riesgo.md|reports/tables/eda_hallazgos.csv,Cumple,,Checklist de entrega,,
WOE/IV y scorecard,reports/tables/scorecard_tramos_woe.csv|models/scorecard_pd_v1.json,Cumple,,Checklist de entrega,,
4 modelos PD mínimos,reports/tables/modelos_comparacion.csv,Cumple,,Checklist de entrega,,
Champion + Challenger,reports/tables/modelos_champion_challenger.csv|models/challenger_lgbm_v1.joblib,Cumple,,Checklist de entrega,,
"AUC, Gini, KS, Brier, Lift/Gains y deciles",reports/tables/validacion_metricas.csv|reports/tables/validacion_deciles_oot.csv,Cumple,,Checklist de entrega,,
Calibración y OOT,reports/tables/validacion_recalibracion.csv|models/calibrador_platt_v1.json,Cumple,,Checklist de entrega,,
SHAP global y local,reports/tables/fairness_shap_global.csv|reports/tables/fairness_casos_explicados.csv,Cumple,,Checklist de entrega,,
Análisis de fairness y proxies,reports/tables/fairness_air_aprobacion.csv|reports/tables/fairness_proxy.csv,Cumple,,Checklist de entrega,,
Cut-off y curva risk-return,reports/tables/decision_curva_tradeoff.csv|reports/figures/fig27_tradeoff.png,Cumple,,Checklist de entrega,,
Decision Engine con APPROVE/REVIEW/REJECT,src/decision.py|reports/tables/decision_detalle_2024.csv,Cumple,,Checklist de entrega,,
Risk Appetite,reports/tables/risk_appetite.csv|src/risk_appetite.py,Cumple,,Checklist de entrega,,
"Pricing, límite o monto cuando aplique",reports/tables/decision_pricing_bandas.csv,Cumple,,Checklist de entrega,,
EAD baseline + modelo,reports/tables/ead_comparacion_modelos.csv|models/ead_lgd_v1.json,Cumple,,Checklist de entrega,,
LGD baseline + modelo,reports/tables/lgd_comparacion_modelos.csv|models/ficha_lgd.md,Cumple,,Checklist de entrega,,
EL por cliente y cartera,src/portfolio.py|reports/tables/el_concentracion_deciles.csv,Cumple,,Checklist de entrega,,
Stress Base/Adverse/Severe,reports/tables/el_escenarios.csv,Cumple,,Checklist de entrega,,
Dashboard de cartera,reports/dashboard_cartera.html|reports/dashboard_monitoreo.html,Cumple,,Checklist de entrega,,
