indicador,tipo,verde,ambar,direccion,accion_ambar,accion_roja,origen
PSI del score,Datos,0.1,0.25,max,Investigar el cambio de mezcla y revisar canales,Revisar el modelo: reentrenar si el cambio es estructural,6.7
PSI de una variable del scorecard,Datos,0.1,0.25,max,Revisar la fuente de esa variable,Reentrenar o reemplazar la variable,6.7
Tasa de faltantes de buró,Datos,0.05,0.08,max,Revisar la consulta al buró antes de tocar el modelo,Escalar al proveedor; limitar uso hasta normalizar,6.3
Volumen mensual de solicitudes,Datos,0.25,0.4,max,Verificar cambios de campaña o de canal,Validar que la mezcla no invalide la calibración,6.4
Gini de la cosecha,Modelo,0.35,0.3,min,Investigar: puede ser variación de cosecha,"Si persiste dos cosechas, reentrenar",6.7
KS de la cosecha,Modelo,0.25,0.2,min,Contrastar con el Gini antes de concluir,Reentrenar,6.7
Observado / predicho,Modelo,1.15,1.3,max,Recalibrar con la ventana más reciente,Recalibrar y revisar el punto de corte,6.7
"Error de calibración (ECE, ventana 12 meses)",Modelo,0.035,0.05,max,Recalibrar,Recalibrar y revisar bandas de score,6.7
Aprobación final,Negocio,0.65,0.6,min,Revisar cola de revisión y capacidad de verificación,"Escalar al Comité: es objetivo de negocio, no límite de riesgo",6.9
Default 12m de la cosecha,Negocio,0.11,0.13,max,Revisar calibración antes que el corte,Bajar el umbral de aprobación automática y escalar al Comité,6.1 y 6.9
Pérdida esperada / monto,Negocio,0.0334,0.0389,max,Revisar calibración y mezcla de la cartera,Recortar la banda 580-600 y escalar al Comité,6.12
Cola de revisión manual,Negocio,0.2,0.25,max,Priorizar por valor esperado,Ampliar capacidad o ajustar umbrales,6.9
AIR por región y por efectivo,Negocio,0.8,0.75,min,Revisar la política de verificación de ingreso,Escalar al Comité: no se compensa con otras métricas,6.8
