variable,origen,rol,fuente,momento,disponible_T0,uso_pd,racional,uso_oficial,transformacion,imputacion,encoding,riesgo_leakage,uso_final
application_id,Original del dataset,ID,Sistema de originación,T0,Sí,No,Identificador; sin contenido de riesgo.,No,No se transforma,No aplica,No aplica,No aplica,Trazabilidad del scoring
observation_date,Original del dataset,Tiempo,Sistema de originación,T0,Sí,No,Solo para split temporal y seguimiento de cosechas.,Si,No se transforma,No aplica,No aplica,Ninguno si solo se usa para cortes temporales,Split DEV/VAL/OOT y seguimiento de cosechas
entity,Original del dataset,Metadato,Constante,T0,Sí,No,Constante (1 valor).,No,No se transforma,No aplica,No aplica,No aplica,No se usa
product,Original del dataset,Metadato,Constante,T0,Sí,No,Constante (1 valor).,No,No se transforma,No aplica,No aplica,No aplica,No se usa
age,Original del dataset,Solicitud,Documento de identidad / RENIEC,T0,Sí,Candidata (fairness),Característica protegida en marcos de fair lending; sin reglas de rechazo por edad fuera de la elegibilidad legal.,Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
region,Original del dataset,Solicitud,Dirección declarada,T0,Sí,Candidata (fairness),Riesgo de discriminación territorial (énfasis del caso).,Si,No se transforma,Moda de DEV,One-hot; una categoría no vista en producción queda en todo ceros,Bajo: medida en T0,Modelo PD sujeto a revisión de discriminación indirecta
channel,Original del dataset,Proceso,Canal de captación,T0,Sí,Candidata,"Variable de proceso; útil para reglas operativas (fraude, verificación).",Si,No se transforma,Moda de DEV,One-hot; una categoría no vista en producción queda en todo ceros,Bajo: medida en T0,Modelo PD
employment_type,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata,Tipo de actividad económica declarada.,Si,No se transforma,Moda de DEV,One-hot; una categoría no vista en producción queda en todo ceros,Bajo: medida en T0,Modelo PD
monthly_income,Original del dataset,Solicitud,Declarado / estimado por asesor,T0,Sí,Candidata,"Difícil de verificar cuando es en efectivo; 2.4% faltante, compatible con MCAR y no informativo del riesgo.",Si,Winsorización p1-p99 (topes ajustados en DEV),Mediana de DEV (faltante compatible con MCAR); flag_sin_ingreso solo para política y monitoreo,No aplica (numérica),"Medio: declarado y poco verificable; el riesgo es de manipulación, no temporal",Modelo PD
employment_tenure_months,Original del dataset,Solicitud,Declarado,T0,Sí,Candidata,Antigüedad de la actividad; 100 casos inconsistentes con la edad.,Si,Winsorización p1-p99 (topes ajustados en DEV); las inconsistencias con la edad se reportan a captura,Mediana de DEV,No aplica (numérica),Bajo: medida en T0,Modelo PD
